pokemon_name,card_id,card_number,set_name,rarity,variant,popularity_rank,popularity_score,market_avg_price,ebay_avg_price,tcgplayer_avg_price,market_avg_7d_price,market_avg_30d_price,ebay_avg_7d,ebay_avg_30d,tcgplayer_avg_7d,tcgplayer_avg_30d,total_sales,ebay_sale_count,tcgplayer_sale_count,ebay_premium,ebay_low_price,ebay_median_3d,ebay_median_7d,ebay_median_30d,ebay_high_price,tcgplayer_low_price,tcgplayer_median_3d,tcgplayer_median_7d,tcgplayer_median_30d,tcgplayer_high_price,price_7d_avg,price_30d_avg,price_90d_avg,price_1y_avg,price_momentum,price_volatility
Fearow,019c3ac3-ec70-77fb-8940-92770f3a07d1,022/165,SV: Scarlet & Violet 151,Uncommon,Normal,130.0,14.86,1.085,1.98,0.19,0.826428575,0.81451613,1.49,1.49,0.16285715,0.13903226,3586.0,15.0,3571.0,1.79,1.98,1.98,1.98,1.0,1.98,0.15,,,,0.15,0.16125,0.141,0.141,0.141,34.75177304964541,0.036232010994280396
Ekans,019bffaa-1a46-7583-8090-cd24f34aba9a,023/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,128.0,16.18,1.02,1.73,0.31,1.22380956,1.223924765,2.1633334,2.1633334,0.28428572,0.28451613,4142.0,50.0,4092.0,1.42,1.73,1.73,1.86,2.14,1.73,0.29,,,,0.6,0.596,0.5806451612903225,0.5806451612903225,0.5806451612903225,-46.6111111111111,0.7053884768167158
Ekans,019c3ac3-ec71-70da-b908-40d96cd551e8,023/165,SV: Scarlet & Violet 151,Common,Normal,128.0,16.18,1.005,1.89,0.12,1.11976182,1.127365505,2.1266665,2.1266665,0.11285714,0.12806451,5014.0,21.0,4993.0,1.77,1.89,1.89,1.89,1.89,1.89,0.12,,,,0.12,0.46900000000000003,0.3313333333333333,0.3313333333333333,0.3313333333333333,-63.78269617706237,0.6183890825938508
Ekans,019bffab-58b9-77cf-912c-e5432028d157,,SV: Scarlet & Violet 151,,Normal,128.0,16.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbok,019bffaa-1a46-7583-8090-d1faf22a2234,024/165,SV: Scarlet & Violet 151,Double Rare,Holofoil,74.0,51.82,2.05,2.62,1.48,2.1467857,2.02277295,2.8535714,2.6703846,1.44,1.3751613,11366.0,268.0,11098.0,1.14,2.62,3.48,3.48,2.49,2.62,0.88,,,,2.76,2.105166666666667,2.115026883870968,2.115026883870968,2.115026883870968,-30.024530123642112,0.9372981420578076
Arbok,019bffab-58b9-77cf-912b-400aa8c3efe5,185/165,SV: Scarlet & Violet 151,Ultra Rare,Holofoil,74.0,51.82,9.925,9.37,10.48,9.158928,9.30178975,8.352142,8.765192,9.965714,9.8383875,6154.0,339.0,5815.0,-1.1100000000000012,9.37,9.37,7.995,8.0,9.37,6.99,,,,12.99,9.22363095,9.204722226666668,9.204722226666668,9.204722226666668,13.854603560320063,1.220031546714383
Pikachu,019bffaa-1a45-759c-ad81-09a7881c5ab9,173/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,27.0,82.84,88.6625,83.975,93.35,84.714285,83.71522,79.21571,81.14367,90.21286,86.28677,5886.0,518.0,5368.0,-9.375,73.55,80.96,80.0,80.0,90.45,93.35,,,,93.35,86.0241667142857,85.42227759999999,85.42227759999999,85.42227759999999,9.280626345650154,4.394547085292373
Pikachu,019bffab-58b9-77cf-912b-7dfea1660f06,025/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,27.0,82.84,1.66,2.49,0.83,2.0489285,1.6545255499999998,3.277857,2.7164705,0.82,0.5925806,9640.0,70.0,9570.0,1.66,2.49,4.24,2.995,2.49,2.49,0.5,,,,1.47,1.51,1.403166666666667,1.403166666666667,1.403166666666667,-40.84808171991924,1.3281439494929428
Pikachu,019c3ac3-ec71-70da-b90a-53f1fb1a8b48,025/165,SV: Scarlet & Violet 151,Common,Normal,27.0,82.84,0.615,0.99,0.24,0.939999985,0.8940806499999999,1.6228571,1.533,0.25714287,0.2551613,15957.0,46.0,15911.0,0.75,0.99,1.18,1.18,1.49,0.99,0.03,,,,0.39,0.33222222222222225,0.4673333333333334,0.4673333333333334,0.4673333333333334,-48.644793152639096,0.5020024270674487
Raichu,019bffaa-1a46-7583-8090-d6777461cd8e,026/165,SV: Scarlet & Violet 151,Rare,Reverse_Holofoil,28.0,82.18,2.5825,3.445,1.72,1.9603572,1.94036295,2.3678572,2.4275,1.5528572,1.4532259,5910.0,116.0,5794.0,1.725,1.99,2.97,2.87,1.99,4.9,1.49,,,,2.61,1.9695454545454545,1.6625,1.6625,1.6625,3.4586466165413463,0.5274250232709989
Raichu,019c3ac3-ec71-70da-b908-455bdc861f62,026/165,SV: Scarlet & Violet 151,Rare,Holofoil,28.0,82.18,1.02,1.75,0.29,1.04642858,1.08168885,1.7957143,1.8917648,0.29714286,0.2716129,10146.0,148.0,9998.0,1.46,1.75,1.87,1.75,1.7,1.75,0.3,,,,0.3,0.607,0.7999462387096773,0.7999462387096773,0.7999462387096773,-63.7475637778142,0.7947851452217971
Sandshrew,019bffaa-1a46-7583-8090-df948bd11002,027/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,73.0,52.48,0.925,1.57,0.28,0.92821425,0.944385075,1.5621428,1.628125,0.2942857,0.26064515,3757.0,51.0,3706.0,1.29,1.57,1.57,1.57,1.57,1.57,0.24,,,,0.29,0.5605,0.47145161290322585,0.47145161290322585,0.47145161290322585,-40.608963393773514,0.4968319527237674
Sandshrew,019c3ac3-ec71-70da-b908-4b059dfcd16d,027/165,SV: Scarlet & Violet 151,Common,Normal,73.0,52.48,0.525,0.91,0.14,0.700535715,0.69592742,1.2825,1.2825,0.11857143,0.10935484,1828.0,26.0,1802.0,0.77,0.91,0.91,0.91,1.12,0.91,0.01,,,,0.25,0.1125,0.19766666666666666,0.19766666666666666,0.19766666666666666,-29.17369308600336,0.36774882107533513
Sandshrew,019bffab-58b9-77cf-912c-f2c9e73ab5c6,,SV: Scarlet & Violet 151,,Normal,73.0,52.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,019bffaa-1a46-7583-8090-e2488c322697,028/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,52.0,66.34,0.855,1.45,0.26,1.037857175,1.032557635,1.7928572,1.7928572,0.28285715,0.27225807,3953.0,54.0,3899.0,1.19,1.45,1.45,1.45,1.7,1.45,0.29,,,,0.29,0.41111111111111115,0.44099999999999995,0.44099999999999995,0.44099999999999995,-41.04308390022675,0.5385955555087631
Sandslash,019c3ac3-ec71-70da-b908-4df4632b8b08,028/165,SV: Scarlet & Violet 151,Uncommon,Normal,52.0,66.34,1.005,1.89,0.12,0.915714285,0.919677415,1.71,1.71,0.12142857,0.12935483,3675.0,28.0,3647.0,1.77,1.89,1.89,1.89,1.88,1.89,0.02,,,,0.02,0.1225,0.189,0.189,0.189,-36.50793650793651,0.3223978052462302
Nidoran F,019bffaa-1a46-7583-8090-e7ca8155cdb9,029/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,105.0,31.36,2.165,1.99,2.34,2.62071425,2.44571685,2.9,2.8011112,2.3414285,2.0903225,5290.0,43.0,5247.0,-0.3499999999999998,1.99,1.99,2.0,2.99,1.99,2.0,,,,3.35,2.305555555555556,2.313666666666666,2.313666666666666,2.313666666666666,1.1381645296067135,0.4580504665264052
Nidoran F,019c3ac3-ec71-70da-b908-515a8cd86b77,029/165,SV: Scarlet & Violet 151,Common,Normal,105.0,31.36,1.1,1.98,0.22,1.03035714,1.021370965,1.835,1.835,0.22571428,0.20774193,5289.0,21.0,5268.0,1.76,1.98,1.98,1.835,1.835,1.98,0.19,,,,0.19,0.41555555555555557,0.31666666666666676,0.31666666666666676,0.31666666666666676,-30.526315789473706,0.4150723520920953
Nidoran F,019bffaa-1a46-7583-8090-f28984131f28,032/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,105.0,31.36,3.265,3.79,2.74,3.0142858,3.14274205,3.3185716,3.3600001,2.71,2.925484,5220.0,46.0,5174.0,1.0499999999999998,3.79,3.14,3.39,3.32,3.79,2.87,,,,4.25,2.813636363636364,2.9716666666666662,2.9716666666666662,2.9716666666666662,-7.795849691531107,0.36003911026378815
Nidoran F,019c3ac3-ec71-70da-b908-5e532350620b,032/165,SV: Scarlet & Violet 151,Common,Normal,105.0,31.36,1.12,1.98,0.26,1.49857143,1.49516129,2.76,2.76,0.23714286,0.23032258,5220.0,27.0,5193.0,1.72,1.98,2.83,2.62,2.62,1.98,0.26,,,,0.26,0.920909090909091,0.48499999999999993,0.48499999999999993,0.48499999999999993,-46.39175257731958,0.8041262124301393
Nidorina,019bffaa-1a46-7583-8090-ea086d4d835d,030/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,104.0,32.02,0.96,1.66,0.26,1.233571435,1.2135483850000002,2.1757143,2.14,0.29142857,0.28709677,4236.0,49.0,4187.0,1.4,1.66,1.66,1.58,1.89,1.66,0.25,,,,0.3,0.5640000000000001,0.6080645161290322,0.6080645161290322,0.6080645161290322,-57.24137931034482,0.7438432601690524
Nidorina,019c3ac3-ec71-70da-b908-56d3f7efbe5b,030/165,SV: Scarlet & Violet 151,Uncommon,Normal,104.0,32.02,1.0,1.88,0.12,1.006130985,1.01235218,1.8808334,1.8808334,0.13142857,0.14387096,4175.0,32.0,4143.0,1.7599999999999998,1.88,1.88,1.88,1.88,1.88,0.12,,,,0.12,0.1325,0.1446666666666667,0.1446666666666667,0.1446666666666667,-17.050691244239648,0.018332810859848756
Nidorina,019bffaa-1a46-7583-8090-f73efebea9db,033/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,104.0,32.02,1.01,1.75,0.27,1.15428575,1.1425576249999998,2.0228572,2.0228572,0.2857143,0.26225805,4118.0,48.0,4070.0,1.48,1.75,1.75,1.75,1.75,1.75,0.29,,,,0.3,0.44222222222222224,0.352,0.352,0.352,-23.295454545454536,0.34267104966113215
Nidorina,019c3ac3-ec71-70da-b908-6133c2310919,033/165,SV: Scarlet & Violet 151,Uncommon,Normal,104.0,32.02,1.025,1.89,0.16,0.87999998,0.85763929,1.6028571,1.5481818,0.15714286,0.16709678,4391.0,29.0,4362.0,1.73,1.89,1.89,1.89,1.65,1.89,0.25,,,,0.25,0.15875,0.22322580645161288,0.22322580645161288,0.22322580645161288,-28.32369942196531,0.3105198554765239
Nidoqueen,019bffaa-1a46-7583-8090-ece3a5221882,031/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,54.0,65.02,0.9,1.5,0.3,1.06785713,1.0565054150000002,1.8385714,1.8133334,0.29714286,0.29967743,4628.0,48.0,4580.0,1.2,1.5,2.48,2.07,1.99,1.5,0.2,,,,0.29,0.29500000000000004,0.634,0.634,0.634,-52.6813880126183,0.6990959679570417
Nidoqueen,019c3ac3-ec71-70da-b908-58d9ae5daa5b,031/165,SV: Scarlet & Violet 151,Uncommon,Normal,54.0,65.02,1.11,2.0,0.22,1.04571429,1.036935485,1.92,1.92,0.17142858,0.15387097,4325.0,26.0,4299.0,1.78,2.0,2.0,2.0,1.88,2.0,0.25,,,,0.25,0.16625,0.21600000000000008,0.21600000000000008,0.21600000000000008,1.8518518518518143,0.33779814417325704
Nidoran M,019bffaa-1a46-7583-8090-f28984131f28,032/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,91.0,40.6,3.265,3.79,2.74,3.0142858,3.14274205,3.3185716,3.3600001,2.71,2.925484,5220.0,46.0,5174.0,1.0499999999999998,3.79,3.14,3.39,3.32,3.79,2.87,,,,4.25,2.813636363636364,2.9716666666666662,2.9716666666666662,2.9716666666666662,-7.795849691531107,0.36003911026378815
Nidoran M,019c3ac3-ec71-70da-b908-5e532350620b,032/165,SV: Scarlet & Violet 151,Common,Normal,91.0,40.6,1.12,1.98,0.26,1.49857143,1.49516129,2.76,2.76,0.23714286,0.23032258,5220.0,27.0,5193.0,1.72,1.98,2.83,2.62,2.62,1.98,0.26,,,,0.26,0.920909090909091,0.48499999999999993,0.48499999999999993,0.48499999999999993,-46.39175257731958,0.8041262124301393
Nidoran M,019bffaa-1a46-7583-8090-e7ca8155cdb9,029/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,91.0,40.6,2.165,1.99,2.34,2.62071425,2.44571685,2.9,2.8011112,2.3414285,2.0903225,5290.0,43.0,5247.0,-0.3499999999999998,1.99,1.99,2.0,2.99,1.99,2.0,,,,3.35,2.305555555555556,2.313666666666666,2.313666666666666,2.313666666666666,1.1381645296067135,0.4580504665264052
Nidoran M,019c3ac3-ec71-70da-b908-515a8cd86b77,029/165,SV: Scarlet & Violet 151,Common,Normal,91.0,40.6,1.1,1.98,0.22,1.03035714,1.021370965,1.835,1.835,0.22571428,0.20774193,5289.0,21.0,5268.0,1.76,1.98,1.98,1.835,1.835,1.98,0.19,,,,0.19,0.41555555555555557,0.31666666666666676,0.31666666666666676,0.31666666666666676,-30.526315789473706,0.4150723520920953
Nidorino,019bffaa-1a46-7583-8090-f73efebea9db,033/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,72.0,53.14,1.01,1.75,0.27,1.15428575,1.1425576249999998,2.0228572,2.0228572,0.2857143,0.26225805,4118.0,48.0,4070.0,1.48,1.75,1.75,1.75,1.75,1.75,0.29,,,,0.3,0.44222222222222224,0.352,0.352,0.352,-23.295454545454536,0.34267104966113215
Nidorino,019c3ac3-ec71-70da-b908-6133c2310919,033/165,SV: Scarlet & Violet 151,Uncommon,Normal,72.0,53.14,1.025,1.89,0.16,0.87999998,0.85763929,1.6028571,1.5481818,0.15714286,0.16709678,4391.0,29.0,4362.0,1.73,1.89,1.89,1.89,1.65,1.89,0.25,,,,0.25,0.15875,0.22322580645161288,0.22322580645161288,0.22322580645161288,-28.32369942196531,0.3105198554765239
Nidorino,019bffaa-1a46-7583-8090-ea086d4d835d,030/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,72.0,53.14,0.96,1.66,0.26,1.233571435,1.2135483850000002,2.1757143,2.14,0.29142857,0.28709677,4236.0,49.0,4187.0,1.4,1.66,1.66,1.58,1.89,1.66,0.25,,,,0.3,0.5640000000000001,0.6080645161290322,0.6080645161290322,0.6080645161290322,-57.24137931034482,0.7438432601690524
Nidorino,019c3ac3-ec71-70da-b908-56d3f7efbe5b,030/165,SV: Scarlet & Violet 151,Uncommon,Normal,72.0,53.14,1.0,1.88,0.12,1.006130985,1.01235218,1.8808334,1.8808334,0.13142857,0.14387096,4175.0,32.0,4143.0,1.7599999999999998,1.88,1.88,1.88,1.88,1.88,0.12,,,,0.12,0.1325,0.1446666666666667,0.1446666666666667,0.1446666666666667,-17.050691244239648,0.018332810859848756
Nidoking,019bffaa-1a46-7583-8090-f8086e4b3a7c,034/165,SV: Scarlet & Violet 151,Rare,Reverse_Holofoil,39.0,74.92,2.02,2.1,1.94,2.2864285,2.0657661,2.8085713,2.5725,1.7642857,1.5590322,5719.0,104.0,5615.0,0.1600000000000001,2.1,4.63,4.63,2.49,2.1,1.49,,,,4.99,2.3145454545454545,1.9966666666666666,1.9966666666666666,1.9966666666666666,-2.8380634390651074,0.8262225354956856
Nidoking,019bffab-58b9-77cf-912b-73a040defb54,174/165,SV: Scarlet & Violet 151,Illustration Rare,Holofoil,39.0,74.92,20.973333500000003,20.126667,21.82,21.4339285,21.2574445,20.377857,20.532309,22.49,21.98258,7189.0,431.0,6758.0,-1.693332999999999,16.76,19.99,19.995,20.0,22.5,10.89,,,,30.39,21.784359,22.127564548387095,22.127564548387095,22.127564548387095,-1.3899611397112104,2.1191802081644977
Nidoking,019c3ac3-ec71-70da-b908-661ae670ebe1,034/165,SV: Scarlet & Violet 151,Rare,Holofoil,39.0,74.92,1.135,1.99,0.28,1.1614286,1.14218548,2.0128572,1.9905,0.31,0.29387096,9110.0,101.0,9009.0,1.71,1.99,1.99,1.99,1.99,1.99,0.25,,,,0.4,0.9016666666666665,0.6993333333333334,0.6993333333333334,0.6993333333333334,-59.96186844613918,0.7453392346526805
Clefairy,019bffaa-1a46-7583-8090-ff63877180a7,035/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,115.0,24.76,0.9,1.5,0.3,1.067142865,1.03883515,1.8557143,1.7844445,0.27857143,0.2932258,4552.0,49.0,4503.0,1.2,1.5,1.5,1.89,1.94,1.5,0.23,,,,0.52,0.562,0.5943333333333334,0.5943333333333334,0.5943333333333334,-49.52327537857544,0.6391464315159244
Clefairy,019c3ac3-ec71-70da-b908-6bbcc7277627,035/165,SV: Scarlet & Violet 151,Common,Normal,115.0,24.76,0.99,1.79,0.19,0.746547635,0.748091415,1.3616667,1.3616667,0.13142857,0.13451613,5335.0,43.0,5292.0,1.6,1.79,1.79,1.25,1.25,1.79,0.02,,,,0.39,0.13,0.34299999999999997,0.34299999999999997,0.34299999999999997,-44.60641399416909,0.5067690081153414
Clefable,019bffaa-1a46-7583-8091-00c38c35802d,036/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,117.0,23.44,1.065,1.83,0.3,0.99142855,0.98820275,1.7028571,1.7028571,0.28,0.2735484,4326.0,50.0,4276.0,1.53,1.57,1.66,1.66,1.79,2.09,0.25,,,,0.4,0.57,0.5760000000000001,0.5760000000000001,0.5760000000000001,-47.91666666666667,0.6217583519952603
Clefable,019c3ac3-ec71-70da-b908-6eec27e7b45e,036/165,SV: Scarlet & Violet 151,Uncommon,Normal,117.0,23.44,0.575,0.99,0.16,0.852261923,0.85938174,1.5816667,1.5816667,0.122857146,0.13709678,4631.0,36.0,4595.0,0.83,0.99,0.99,1.39,1.74,0.99,0.15,,,,0.25,0.378,0.3346666666666667,0.3346666666666667,0.3346666666666667,-52.19123505976096,0.539109951892826
Vulpix,019bffaa-1a46-7583-8091-060683cddf64,037/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,40.0,74.26,1.14,1.99,0.29,1.00928572,0.99903226,1.69,1.69,0.32857144,0.30806452,4718.0,25.0,4693.0,1.7,1.99,1.99,1.99,1.78,1.99,0.25,,,,0.29,0.5133333333333332,0.44900000000000007,0.44900000000000007,0.44900000000000007,-35.412026726057924,0.4270698077476973
Vulpix,019c3ac3-ec71-70da-b908-72a68293964a,037/165,SV: Scarlet & Violet 151,Common,Normal,40.0,74.26,0.56,0.99,0.13,0.767857145,0.77241936,1.41,1.41,0.12571429,0.13483872,6158.0,20.0,6138.0,0.86,0.99,0.99,0.99,1.0,0.99,0.03,,,,0.25,0.13125,0.191,0.191,0.191,-31.93717277486911,0.21939336424755893
Ninetales,019bffaa-1a46-7583-8091-0b5a6df5fde1,038/165,SV: Scarlet & Violet 151,Double Rare,Holofoil,18.0,88.78,2.7466667,3.1933334,2.3,2.1700001,2.39958475,2.0242858,2.4998147,2.3157144,2.2993548,14861.0,370.0,14491.0,0.8933334000000004,1.7,1.77,2.49,2.74,4.39,2.02,,,,4.64,2.335000007142857,2.467344446666666,2.467344446666666,2.467344446666666,-6.782370693834228,0.669621031794597
Ninetales,019bffab-58b9-77cf-912b-76f115cad08a,186/165,SV: Scarlet & Violet 151,Ultra Rare,Holofoil,18.0,88.78,17.994999999999997,19.95,16.04,16.9078565,15.905734,17.647142,15.7805,16.168571,16.030968,5418.0,295.0,5123.0,3.91,19.95,14.5,16.245,15.0,19.95,15.67,,,,15.67,16.537692307692307,16.60066666666667,16.60066666666667,16.60066666666667,-3.3773744026344503,1.6207973417390915
Jigglypuff,019bffaa-1a46-7583-8091-0cc34a695942,039/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,90.0,41.26,0.9125,1.515,0.31,1.33785707,1.2128656,2.352857,2.0976667,0.32285714,0.3280645,5425.0,91.0,5334.0,1.2049999999999998,1.39,1.515,1.515,1.99,1.64,0.29,,,,0.4,0.6075,0.9136666666666665,0.9136666666666665,0.9136666666666665,-66.07077708865377,0.9630527372437316
Jigglypuff,019c3ac3-ec71-70da-b908-77a704d8e58a,039/165,SV: Scarlet & Violet 151,Common,Normal,90.0,41.26,1.12,2.04,0.2,0.96749999,0.93882258,1.7635714,1.707,0.17142858,0.17064516,2709.0,51.0,2658.0,1.84,2.04,2.04,1.96,1.88,2.04,0.15,,,,0.25,0.532,0.4841666666666667,0.4841666666666667,0.4841666666666667,-58.69191049913941,0.6555335854166402
Wigglytuff,019bffaa-1a46-7583-8091-10aef4747ab2,040/165,SV: Scarlet & Violet 151,Double Rare,Holofoil,125.0,18.16,2.485,3.48,1.49,1.89964285,1.98238525,2.4607143,2.6205769,1.3385714,1.3441936,12341.0,278.0,12063.0,1.99,3.48,2.99,1.99,2.49,3.48,1.0,,,,2.99,1.866923076923077,1.954032258064516,1.954032258064516,1.954032258064516,-23.747420553033425,0.8158241429732663
Wigglytuff,019bffab-58b9-77cf-912b-9753e30dadcd,187/165,SV: Scarlet & Violet 151,Ultra Rare,Holofoil,125.0,18.16,10.185,9.34,11.03,9.281429,9.8998,8.765715,10.032826,9.797143,9.766774,6129.0,302.0,5827.0,-1.6899999999999995,9.09,9.09,9.09,9.59,9.59,6.0,,,,8.65,9.43576923076923,9.705666666666664,9.705666666666664,9.705666666666664,13.644949685750618,1.0747427385300117
Zubat,019bffaa-1a47-7762-8bb3-e0014c9923a6,041/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,151.0,1.0,0.495,0.72,0.27,0.9228572,0.9074194,1.5600001,1.5600001,0.2857143,0.2548387,3870.0,38.0,3832.0,0.4499999999999999,0.72,0.72,1.145,1.57,0.72,0.29,,,,0.3,0.28125,0.3586666666666666,0.3586666666666666,0.3586666666666666,-24.721189591078044,0.34083804763060666
Zubat,019c3ac3-ec71-70da-b908-7a91382d1959,041/165,SV: Scarlet & Violet 151,Common,Normal,151.0,1.0,1.135,2.19,0.08,0.79166665,0.8024731,1.5033333,1.5033333,0.08,0.1016129,3849.0,17.0,3832.0,2.11,2.19,1.59,1.59,1.33,2.19,0.01,,,,0.25,0.07875,0.10133333333333332,0.10133333333333332,0.10133333333333332,-21.052631578947352,0.02687561814311836
Golbat,019bffaa-1a47-7762-8bb3-e50d7cdb6bf9,042/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,120.0,21.46,1.08,1.89,0.27,0.9164286,1.05950149,1.5371429,1.8354546,0.2957143,0.28354838,3836.0,41.0,3795.0,1.62,1.89,1.89,1.51,1.57,1.89,0.29,,,,0.3,0.579,0.8352222233333332,0.8352222233333332,0.8352222233333332,-67.6732739554699,0.901091159466516
Golbat,019c3ac3-ec71-70da-b908-7def55b68526,042/165,SV: Scarlet & Violet 151,Uncommon,Normal,120.0,21.46,0.5,0.91,0.09,0.08857143,0.10064516,,,0.08857143,0.10064516,3839.0,26.0,3813.0,0.8200000000000001,0.91,0.91,0.91,0.91,0.91,0.01,,,,0.25,0.09,0.12733333333333335,0.12733333333333335,0.12733333333333335,-29.319371727748706,0.148670738565957
Oddish,019bffaa-1a47-7762-8bb3-eb944c0c1960,043/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,98.0,35.98,0.7966667,1.3433334,0.25,0.9292857,0.948729835,1.5885714,1.63875,0.27,0.25870967,3952.0,50.0,3902.0,1.0933334,0.99,1.29,1.39,1.5,1.75,0.22,,,,0.29,0.48133334000000005,0.5568817225806452,0.5568817225806452,0.5568817225806452,-55.1071637184508,0.5964872108793721
Oddish,019c3ac3-ec71-70da-b908-821e97e4de2c,043/165,SV: Scarlet & Violet 151,Common,Normal,98.0,35.98,0.81,1.49,0.13,0.6065714280000001,0.6147742,1.096,1.096,0.117142856,0.1335484,4994.0,27.0,4967.0,1.36,1.49,1.49,1.49,1.0,1.49,0.03,,,,0.25,0.27,0.29466666666666674,0.29466666666666674,0.29466666666666674,-55.882352941176485,0.374292282372584
Gloom,019bffaa-1a47-7762-8bb3-ed969950f828,044/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,135.0,11.56,1.49,2.69,0.29,1.12285715,1.1232258,1.96,1.96,0.2857143,0.2864516,4220.0,41.0,4179.0,2.4,2.69,2.68,1.7,1.845,2.69,0.29,,,,0.3,0.8463636363636364,0.5796666666666667,0.5796666666666667,0.5796666666666667,-49.97124784358827,0.6985476723708358
Gloom,019c3ac3-ec71-70da-b908-87a3f59a6bbd,044/165,SV: Scarlet & Violet 151,Uncommon,Normal,135.0,11.56,0.705,1.25,0.16,0.844047585,0.85026878,1.5366666,1.5366666,0.15142857,0.16387096,4121.0,25.0,4096.0,1.09,1.25,1.25,1.25,1.52,1.25,0.15,,,,0.25,0.2744444444444445,0.32258064516129037,0.32258064516129037,0.32258064516129037,-50.40000000000001,0.41935639371093
Vileplume,019bffaa-1a47-7762-8bb3-f09d214efc6d,045/165,SV: Scarlet & Violet 151,Rare,Reverse_Holofoil,79.0,48.52,1.29,1.5,1.08,1.4835714,1.480547315,1.9628571,2.044643,1.0042857,0.91645163,5323.0,121.0,5202.0,0.4199999999999999,1.5,1.5,1.78,1.99,1.5,1.12,,,,1.52,1.2463636363636366,1.3104838709677422,1.3104838709677422,1.3104838709677422,-17.587692307692322,0.567318774057275
Vileplume,019c3ac3-ec71-70da-b908-8b335a543949,045/165,SV: Scarlet & Violet 151,Rare,Holofoil,79.0,48.52,1.4075000000000002,2.535,0.28,1.146071465,1.098635715,2.0135715,1.9379166,0.27857143,0.25935483,7834.0,122.0,7712.0,2.255,1.59,2.535,1.79,1.99,3.48,0.19,,,,0.23,0.6515000000000001,0.7606666666666668,0.7606666666666668,0.7606666666666668,-63.190184049079754,0.8566843998343499
Vileplume,019bffab-58b9-77cf-912c-d0cd88375f4d,,SV: Scarlet & Violet 151,,Normal,79.0,48.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paras,019bffaa-1a47-7762-8bb3-f597067433da,046/165,SV: Scarlet & Violet 151,Common,Reverse_Holofoil,148.0,2.98,1.115,1.99,0.24,1.049404775,1.0400269,1.8516667,1.8516667,0.24714285,0.2283871,3629.0,39.0,3590.0,1.75,1.99,1.99,1.99,1.99,1.99,0.2,,,,0.3,0.25,0.4546666666666666,0.4546666666666666,0.4546666666666666,-47.21407624633431,0.5863548021658802
Paras,019c3ac3-ec71-70da-b908-8e1cad4ddcb9,046/165,SV: Scarlet & Violet 151,Common,Normal,148.0,2.98,1.54,3.0,0.08,0.07571428,0.0683871,,,0.07571428,0.0683871,3475.0,15.0,3460.0,2.92,3.0,3.0,3.0,3.0,3.0,0.08,,,,0.08,0.07375000000000001,0.1653333333333333,0.1653333333333333,0.1653333333333333,-51.61290322580644,0.5355869054909141
Paras,019bffaa-1a47-7762-8bb3-f94c78502ffa,047/165,SV: Scarlet & Violet 151,Uncommon,Reverse_Holofoil,148.0,2.98,0.965,1.66,0.27,1.09964285,1.0973387,1.935,1.935,0.2642857,0.2596774,3819.0,42.0,3777.0,1.39,1.66,1.66,1.66,1.99,1.66,0.25,,,,0.29,0.41888888888888887,0.37133333333333324,0.37133333333333324,0.37133333333333324,-27.289048473967657,0.4440932903959625
Paras,019c3ac3-ec71-70da-b908-90b9ebb91380,047/165,SV: Scarlet & Violet 151,Uncommon,Normal,148.0,2.98,0.5800000000000001,1.07,0.09,0.81357148,0.82161295,1.5300001,1.5300001,0.09714286,0.1132258,3583.0,27.0,3556.0,0.98,1.07,1.07,1.07,1.07,1.07,0.01,,,,0.25,0.09875,0.1463333333333333,0.1463333333333333,0.1463333333333333,-38.496583143507955,0.1762342354570372
